Data,Total Pendentes,Total Faturados
2026-07-28,25,101
2026-07-28,6,120
2026-07-28,7,120
2026-07-28,7,120
2026-07-28,7,120
2026-07-28,10,120
2026-07-28,11,120
2026-07-28,11,120
2026-07-28,8,23
2026-07-28,8,123
2026-07-28,9,123
2026-07-28,11,123
2026-07-28,12,131
2026-07-28,14,132
2026-07-28,7,139
2026-07-28,7,139
2026-07-28,5,142
2026-07-28,5,142
2026-07-28,5,142
2026-07-28,5,142
2026-07-28,5,142
2026-07-28,5,142
2026-07-29,17,122
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,6,134
2026-07-29,7,135
2026-07-29,3,39
2026-07-29,3,39
2026-07-29,7,135
2026-07-29,10,136
2026-07-29,10,136
2026-07-29,10,136
2026-07-29,10,136
2026-07-29,10,136
2026-07-29,12,144
2026-07-30,10,150
2026-07-30,10,150
2026-07-31,16,178
2026-07-31,16,178
2026-07-31,8,196
2026-08-03,8,122
2026-08-04,9,100
2026-08-04,12,106
2026-08-05,15,108
2026-08-05,9,119
2026-08-06,21,92
2026-08-06,9,108
2026-08-06,7,111
2026-08-07,13,123
2026-08-07,13,123
2026-08-07,8,137
2026-08-10,12,90
2026-08-10,12,90
2026-08-11,10,102
2026-08-11,10,102
2026-08-11,10,103
2026-08-11,6,107
2026-08-11,6,109
2026-08-11,3,14
2026-08-11,2,14
2026-08-11,6,109
2026-08-11,6,109
2026-08-11,4,111
2026-08-12,8,82
2026-08-12,8,82
2026-08-12,8,82
2026-08-12,9,82
2026-08-12,3,88
2026-08-12,5,90
2026-08-12,5,90
2026-08-12,4,90
2026-08-12,5,90
2026-08-12,6,90
2026-08-12,6,92
2026-08-12,4,94
2026-08-12,5,94
2026-08-12,4,96
2026-08-12,4,96
2026-08-12,4,96
2026-08-12,4,96
2026-08-12,4,96
2026-08-12,4,98
2026-08-12,4,98
2026-08-12,4,99
2026-08-12,6,100
2026-08-12,7,100
2026-08-12,3,104
2026-08-12,3,104
2026-08-12,3,104
2026-08-12,3,104
2026-08-12,4,104
2026-08-12,2,106
2026-08-12,2,106
2026-08-13,9,86
2026-08-13,9,86
2026-08-13,10,86
2026-08-13,10,86
2026-08-13,10,86
2026-08-13,10,86
2026-08-13,10,86
2026-08-13,10,86
2026-08-13,10,86
2026-08-13,10,86
2026-08-13,10,86
2026-08-13,9,87
2026-08-13,9,87
2026-08-13,9,87
2026-08-13,9,87
2026-08-13,5,92
2026-08-14,16,92
2026-08-17,35,40
2026-08-17,35,40
2026-08-17,13,72
2026-08-17,14,72
2026-08-17,12,74
2026-08-17,13,74
2026-08-17,13,74
2026-08-18,12,64
2026-08-18,12,64
2026-08-18,4,72
2026-08-18,6,75
2026-08-18,7,75
2026-08-18,7,75
2026-08-18,7,75
2026-08-18,7,75
2026-08-18,7,75
2026-08-18,7,75
2026-08-19,9,77
2026-08-19,10,77
2026-08-19,7,82
2026-08-19,10,91
2026-08-20,14,84
2026-08-20,10,90
2026-08-21,25,97
2026-08-21,10,123
2026-08-21,16,135
2026-08-21,16,135
2026-08-24,52,72
2026-08-24,52,72
2026-08-24,52,72
2026-08-24,52,72
2026-08-24,52,72
2026-08-24,51,73
2026-08-24,51,73
2026-08-24,20,111
2026-08-24,22,120
2026-08-25,23,120
2026-08-25,23,120
2026-08-25,28,120
2026-08-25,28,120
2026-08-25,32,120
2026-08-25,32,120
2026-08-25,29,123
2026-08-25,29,123
2026-08-25,29,123
2026-08-25,29,123
2026-08-25,11,147
2026-08-25,12,147
2026-08-25,8,166
2026-08-26,18,153
2026-08-26,19,153
2026-08-26,8,166
2026-08-26,8,170
2026-08-26,8,170
2026-08-26,8,170
2026-08-27,7,152
2026-08-27,7,152
2026-08-27,9,152
2026-08-27,9,152
2026-08-27,14,155
2026-08-27,14,155
2026-08-27,5,164
2026-08-27,5,164
2026-08-27,6,164
2026-08-28,17,164
2026-08-28,17,164
2026-08-28,17,164
2026-08-28,10,185
2026-08-28,12,189
2026-08-28,8,195
2026-08-28,9,195
2026-08-28,9,195
2026-08-28,9,195
2026-08-28,9,195
2026-08-28,9,195
2026-08-28,9,195
2026-08-28,9,195
2026-08-28,10,195
2026-08-29,22,207
2026-08-29,22,207
2026-08-31,22,92
2026-08-31,22,92
2026-08-29,22,92
2026-08-29,22,92
2026-08-31,22,92
2026-08-29,23,207
