Pedido,DataEntradaSeparacao,DataEntradaFaturar,DataFaturamento
8819,2025-11-27 10:55:30,2026-08-31 08:00:00,
14858,2026-07-29 08:00:00,,
14931,2026-08-12 08:00:00,2026-08-21 15:40:37,2026-08-24 09:05:43
15644,2026-08-24 16:12:21,2026-08-24 16:12:21,2026-08-24 17:00:52
15647,2026-07-27 08:00:00,2026-07-27 08:00:00,2026-07-27 08:00:00
15679,2026-07-29 08:00:00,2026-07-29 08:00:00,2026-07-29 08:00:00
15830,2026-08-04 08:00:00,2026-08-04 08:00:00,2026-08-04 08:00:00
15863,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15864,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15866,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15867,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15868,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15869,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15870,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15871,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15872,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15873,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15874,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15875,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15876,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15877,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15878,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
15879,2026-07-24 08:00:00,2026-07-24 08:00:00,2026-07-24 08:00:00
