Pedido,Etapa,Data Faturamento,Data Alteração,Departamento,Transportadora,Historico Etapas,Valor Total,Peso Bruto (kg)
16329,Faturado,11/08/2026,11/08/2026,Comercial,Souza,[],673.32,8.645
16328,Faturar,-,11/08/2026,Comercial,Sedex,[],309.41,3.46
16326,Faturado,11/08/2026,11/08/2026,Comercial,Souza,[],723.33,8.25
16325,Faturado,11/08/2026,11/08/2026,Comercial,Souza,[],529.1,8.7
16323,Faturado,11/08/2026,11/08/2026,Comercial,Retirada Estoque,[],1180.08,15.43
16322,Faturado,11/08/2026,11/08/2026,Ecommerce,Sedex,[],57.76,0.265
16321,Faturado,11/08/2026,11/08/2026,Comercial,-,[],54.8,1.025
16320,Faturado,11/08/2026,11/08/2026,Ecommerce,J&T,[],99.86,0.497
16319,Faturado,11/08/2026,11/08/2026,Ecommerce,Sedex,[],57.76,0.465
16318,Faturado,11/08/2026,11/08/2026,Ecommerce,PAC,[],62.42,0.34
16317,Faturado,11/08/2026,11/08/2026,Ecommerce,J&T,[],66.99,0.215
16316,Faturado,11/08/2026,11/08/2026,Ecommerce,Impresso,[],58.65,0.215
16315,Faturado,11/08/2026,11/08/2026,Ecommerce,Impresso,[],74.65,0.68
16314,Faturado,11/08/2026,11/08/2026,Ecommerce,J&T,[],105.31,1.105
16313,Faturado,11/08/2026,11/08/2026,Ecommerce,Sedex,[],32.26,0.14
16312,Faturado,11/08/2026,11/08/2026,Ecommerce,Impresso,[],70.31,0.755
16311,Faturado,11/08/2026,11/08/2026,Ecommerce,PAC,[],591.53,4.905
16310,Faturado,11/08/2026,11/08/2026,Ecommerce,Impresso,[],47.65,0.205
16309,Faturado,11/08/2026,11/08/2026,Ecommerce,PAC,[],160.7,0.51
16308,Faturado,11/08/2026,11/08/2026,Ecommerce,Sedex,[],46.54,0.415
16307,Faturado,11/08/2026,11/08/2026,Ecommerce,J&T,[],76.6,0.68
16306,Faturar,-,11/08/2026,Comercial,Total,[],861.78,9.178
16305,Em Processo,-,10/08/2026,Comercial,Retirada Estoque,[],51.4,0.295
16304,Faturado,11/08/2026,11/08/2026,Comercial,Retirada Estoque,[],31.9,0.415
16303,Faturado,11/08/2026,11/08/2026,Comercial,-,[],623.0,1.725
16302,Faturado,11/08/2026,11/08/2026,Comercial,-,[],278.45,5.05
