Pedido,Etapa,Data Faturamento,Hora Faturamento,Data Alteração,Hora Alteração,Departamento,Transportadora,Historico Etapas,Valor Total,Peso Bruto (kg)
16593,10,-,-,24/08/2026,15:54:30,Comercial,-,[],204.16,3.405
16592,Separar Estoque,-,-,24/08/2026,16:12:31,Comercial,PAC,[],382.8,6.565
16591,10,-,-,24/08/2026,15:18:52,Comercial,-,[],352.48,5.282
16590,Separar Estoque,-,-,24/08/2026,14:40:11,Ecommerce,Impresso,[],70.04,0.68
16589,Faturado,24/08/2026,14:43:38,24/08/2026,14:43:38,Comercial,Retirada Estoque,[],34.9,0.61
16588,Faturar,-,-,24/08/2026,16:12:31,Ecommerce,J&T,[],279.92,1.5
16587,Faturado,24/08/2026,15:12:03,24/08/2026,15:12:03,Comercial,Retirada Estoque,[],216.12,2.52
16586,10,-,-,24/08/2026,14:12:35,Comercial,-,[],709.9,9.53
16585,Faturado,24/08/2026,14:43:35,24/08/2026,14:43:35,Comercial,Retirada Estoque,[],515.77,4.725
16584,Separar Estoque,-,-,24/08/2026,13:25:04,Ecommerce,J&T,[],142.23,1.51
16583,Separar Estoque,-,-,24/08/2026,13:03:40,Ecommerce,J&T,[],50.89,0.255
16582,Faturar,-,-,24/08/2026,16:13:34,Ecommerce,J&T,[],113.27,1.51
16581,Faturado,24/08/2026,14:05:32,24/08/2026,14:05:33,Comercial,Sedex,[],2465.69,16.4
16580,Em Processo,-,-,24/08/2026,13:17:03,Comercial,-,[],1847.31,24.25
16579,Faturar,-,-,24/08/2026,16:13:30,Ecommerce,Impresso,[],31.91,0.475
16578,Faturado,24/08/2026,13:48:21,24/08/2026,13:48:23,Comercial,Retirada Estoque,[],2296.44,28.74
16577,Faturado,24/08/2026,15:12:00,24/08/2026,15:12:00,Comercial,Souza,[],3665.0,66.4
16576,Faturar,-,-,24/08/2026,16:13:28,Ecommerce,Impresso,[],31.91,0.475
16575,Faturar,-,-,24/08/2026,16:13:26,Ecommerce,PAC,[],43.78,0.475
16574,Faturado,24/08/2026,11:18:38,24/08/2026,11:18:38,Ecommerce,J&T,[],57.67,0.635
16573,Faturado,24/08/2026,10:26:21,24/08/2026,10:26:21,Ecommerce,Sedex,[],111.15,1.1
16572,Faturado,24/08/2026,10:26:19,24/08/2026,10:26:19,Ecommerce,Impresso,[],31.91,0.475
16571,Faturado,24/08/2026,10:26:13,24/08/2026,10:26:13,Ecommerce,Impresso,[],31.91,0.475
16570,Faturado,24/08/2026,10:26:17,24/08/2026,10:26:17,Ecommerce,Impresso,[],64.46,0.215
16569,Faturado,24/08/2026,10:26:15,24/08/2026,10:26:15,Ecommerce,Impresso,[],56.83,0.765
16568,Faturado,24/08/2026,11:18:36,24/08/2026,11:18:36,Ecommerce,J&T,[],48.9,0.255
16567,Faturado,24/08/2026,10:26:09,24/08/2026,10:26:09,Ecommerce,Impresso,[],70.04,0.68
16566,Faturar,-,-,24/08/2026,16:13:24,Ecommerce,J&T,[],137.44,1.31
16565,Faturado,24/08/2026,10:26:11,24/08/2026,10:26:11,Ecommerce,Impresso,[],49.6,0.635
16564,Faturar,-,-,24/08/2026,16:12:37,Ecommerce,Impresso,[],83.61,0.497
16563,Faturado,24/08/2026,11:18:33,24/08/2026,11:18:33,Ecommerce,J&T,[],42.73,0.205
16562,Faturar,-,-,24/08/2026,16:12:34,Ecommerce,J&T,[],198.0,2.415
16561,Faturado,24/08/2026,10:26:05,24/08/2026,10:26:05,Ecommerce,Impresso,[],49.6,0.635
16560,Faturado,24/08/2026,11:18:31,24/08/2026,11:18:31,Ecommerce,J&T,[],79.14,0.68
16559,Faturado,24/08/2026,11:18:28,24/08/2026,11:18:28,Ecommerce,J&T,[],96.44,0.42
16558,Faturado,24/08/2026,10:26:01,24/08/2026,10:26:01,Ecommerce,Impresso,[],37.69,0.205
16557,Separar Estoque,-,-,23/08/2026,13:08:53,Ecommerce,Souza,[],105.34,0.0
16556,Faturado,24/08/2026,10:25:58,24/08/2026,10:25:58,Ecommerce,Impresso,[],87.61,0.73
16555,Faturado,24/08/2026,10:25:55,24/08/2026,10:25:55,Ecommerce,Impresso,[],64.46,0.215
16554,Faturado,24/08/2026,10:25:53,24/08/2026,10:25:53,Ecommerce,Sedex,[],71.65,0.68
16553,Faturado,24/08/2026,10:25:51,24/08/2026,10:25:51,Ecommerce,Impresso,[],70.04,0.68
16552,Faturado,24/08/2026,10:25:49,24/08/2026,10:25:49,Ecommerce,Sedex,[],69.81,0.755
16551,Faturado,24/08/2026,11:18:26,24/08/2026,11:18:26,Ecommerce,J&T,[],122.39,1.02
16550,Faturado,24/08/2026,11:18:24,24/08/2026,11:18:24,Ecommerce,J&T,[],74.14,0.215
16549,Faturado,24/08/2026,11:18:22,24/08/2026,11:18:22,Ecommerce,J&T,[],73.53,0.215
16548,Faturar,-,-,24/08/2026,16:12:27,Ecommerce,J&T,[],46.76,0.205
16547,Faturado,24/08/2026,10:25:47,24/08/2026,10:25:47,Ecommerce,Sedex,[],92.1,0.83
16546,Faturado,24/08/2026,11:18:19,24/08/2026,11:18:19,Ecommerce,J&T,[],59.94,0.415
16545,Em Processo,-,-,24/08/2026,09:37:10,Comercial,-,[],670.84,8.025
16544,Faturado,24/08/2026,10:25:44,24/08/2026,10:25:44,Ecommerce,Impresso,[],60.17,0.465
16543,Faturar,-,-,24/08/2026,16:12:25,Ecommerce,J&T,[],102.6,0.545
16542,Faturado,24/08/2026,11:18:16,24/08/2026,11:18:16,Ecommerce,J&T,[],37.78,0.475
16541,Faturado,24/08/2026,14:04:57,24/08/2026,14:04:58,Comercial,PAC,[],466.21,8.495
16540,Faturar,-,-,24/08/2026,16:12:23,Ecommerce,Total,[],40.37,0.475
16539,Faturado,24/08/2026,11:18:13,24/08/2026,11:18:13,Ecommerce,J&T,[],111.83,1.465
16538,Faturado,24/08/2026,10:25:40,24/08/2026,10:25:40,Ecommerce,Impresso,[],70.04,0.68
16537,Faturado,24/08/2026,14:04:43,24/08/2026,14:04:43,Comercial,Souza,[],539.86,10.295
16536,Faturado,24/08/2026,11:18:10,24/08/2026,11:18:10,Ecommerce,J&T,[],122.57,1.36
16535,Faturado,24/08/2026,10:25:38,24/08/2026,10:25:38,Ecommerce,Impresso,[],70.04,0.68
16534,Faturado,24/08/2026,11:18:08,24/08/2026,11:18:08,Ecommerce,J&T,[],43.0,0.205
16533,Faturado,24/08/2026,10:25:35,24/08/2026,10:25:35,Ecommerce,Impresso,[],70.04,0.68
16532,Faturado,24/08/2026,11:18:05,24/08/2026,11:18:05,Ecommerce,J&T,[],105.37,1.025
16531,Em Processo,-,-,21/08/2026,17:06:36,Não Identificado,-,[],779.02,11.325
16530,Faturado,24/08/2026,10:25:32,24/08/2026,10:25:32,Ecommerce,Impresso,[],58.39,0.84
16529,00,-,-,21/08/2026,16:48:36,Ecommerce,J&T,[],101.82,0.215
16528,Faturado,24/08/2026,10:25:29,24/08/2026,10:25:29,Ecommerce,Impresso,[],68.65,0.215
16527,Faturado,21/08/2026,16:33:53,21/08/2026,16:33:53,Comercial,Retirada Estoque,[],86.75,1.215
16525,Em Processo,-,-,21/08/2026,17:10:22,Comercial,J&T,[],937.99,12.87
16524,Faturado,24/08/2026,09:05:51,24/08/2026,09:05:51,Ecommerce,Impresso,[],42.66,0.255
16523,Faturado,24/08/2026,09:05:41,24/08/2026,09:05:41,Comercial,PAC,[],603.03,9.415
16522,Faturado,24/08/2026,09:51:09,24/08/2026,09:51:09,Comercial,Retirada Estoque,[],641.55,6.415
16521,Faturado,21/08/2026,15:24:01,21/08/2026,15:24:02,Comercial,Retirada Estoque,[],89.82,1.125
16520,Faturado,24/08/2026,14:35:37,24/08/2026,14:35:39,Comercial,J&T,[],1266.04,16.775
16519,Faturado,21/08/2026,15:32:37,21/08/2026,15:32:37,Comercial,Souza,[],768.25,13.95
16518,Faturado,21/08/2026,15:33:27,21/08/2026,15:33:28,Comercial,PAC,[],3249.91,39.04
16517,Faturado,21/08/2026,15:32:39,21/08/2026,15:32:39,Ecommerce,Impresso,[],68.2,0.755
16516,Faturado,24/08/2026,10:26:23,24/08/2026,10:26:23,Ecommerce,Magazine Luiza,[],69.9,0.755
16515,Faturado,21/08/2026,15:33:15,21/08/2026,15:33:16,Comercial,PAC,[],610.42,8.355
16514,Faturado,24/08/2026,09:05:49,24/08/2026,09:05:49,Ecommerce,Magazine Luiza,[],62.61,0.68
16513,Faturado,21/08/2026,13:26:15,21/08/2026,13:26:15,Comercial,Retirada Estoque,[],1521.99,26.065
16512,Faturado,21/08/2026,11:34:44,21/08/2026,11:34:46,Comercial,Retirada Estoque,[],1544.36,15.565
16511,Faturado,21/08/2026,11:38:33,21/08/2026,11:38:33,Ecommerce,J&T,[],122.57,1.36
16510,Faturado,21/08/2026,11:38:30,21/08/2026,11:38:30,Ecommerce,J&T,[],178.34,2.265
16509,Faturado,21/08/2026,11:38:27,21/08/2026,11:38:27,Ecommerce,Sedex,[],71.65,0.68
