Pedido,Etapa,Data Faturamento,Hora Faturamento,Data Alteração,Hora Alteração,Data Inclusao,Hora Inclusao,Departamento,Transportadora,Historico Etapas,Valor Total,Peso Bruto (kg)
16754,Faturar,-,-,29/08/2026,14:59:32,29/08/2026,14:53:14,Não Identificado,-,[],89.9,2.58
16753,Separar Estoque,-,-,29/08/2026,13:01:24,29/08/2026,13:01:22,Ecommerce,J&T,[],85.02,0.775
16752,Separar Estoque,-,-,29/08/2026,13:01:13,29/08/2026,13:01:12,Ecommerce,Impresso,[],31.91,0.475
16751,Separar Estoque,-,-,29/08/2026,12:34:37,29/08/2026,12:34:36,Ecommerce,Sedex,[],40.03,0.415
16750,Separar Estoque,-,-,29/08/2026,10:24:19,29/08/2026,10:24:18,Ecommerce,Impresso,[],70.04,0.68
16749,Separar Estoque,-,-,29/08/2026,08:26:50,29/08/2026,08:26:48,Ecommerce,J&T,[],131.8,1.36
16748,Separar Estoque,-,-,29/08/2026,06:56:54,29/08/2026,06:56:53,Ecommerce,Impresso,[],31.91,0.475
16747,Separar Estoque,-,-,29/08/2026,01:32:16,29/08/2026,01:32:14,Ecommerce,Impresso,[],68.65,0.215
16746,Separar Estoque,-,-,28/08/2026,23:24:29,28/08/2026,23:24:28,Ecommerce,Impresso,[],64.46,0.215
16745,Separar Estoque,-,-,28/08/2026,21:46:44,28/08/2026,21:46:42,Ecommerce,Sedex,[],51.09,0.28
16744,Separar Estoque,-,-,28/08/2026,20:27:29,28/08/2026,20:27:28,Ecommerce,Impresso,[],70.04,0.68
16743,Separar Estoque,-,-,28/08/2026,19:20:32,28/08/2026,19:20:27,Ecommerce,J&T,[],116.59,1.715
16742,Separar Estoque,-,-,28/08/2026,18:51:15,28/08/2026,18:51:14,Ecommerce,Impresso,[],68.65,0.215
16741,Separar Estoque,-,-,28/08/2026,17:31:00,28/08/2026,17:30:58,Ecommerce,Impresso,[],39.87,0.205
16740,10,-,-,28/08/2026,17:29:11,28/08/2026,17:29:09,Comercial,-,[],540.47,9.4
16739,10,-,-,28/08/2026,16:54:12,28/08/2026,16:52:48,Comercial,-,[],4495.22,57.81
16738,10,-,-,28/08/2026,16:42:08,28/08/2026,16:41:33,Comercial,-,[],2712.73,35.873
16737,Em Processo,-,-,28/08/2026,17:15:27,28/08/2026,16:29:31,Comercial,-,[],5143.18,89.962
16736,Faturado,28/08/2026,16:59:04,28/08/2026,16:59:04,28/08/2026,16:25:22,Comercial,Deixar na guarita 28/08 com etiqueta Cátia dos Santos.,[],49.71,0.38
16735,Faturado,28/08/2026,17:02:03,28/08/2026,17:02:03,28/08/2026,16:16:40,Ecommerce,Impresso,[],37.69,0.205
16734,Faturado,28/08/2026,17:02:02,28/08/2026,17:02:02,28/08/2026,16:11:36,Ecommerce,Sedex,[],180.32,0.645
16733,Faturado,28/08/2026,17:02:00,28/08/2026,17:02:00,28/08/2026,15:47:09,Ecommerce,J&T,[],115.23,1.105
16732,Faturado,28/08/2026,17:01:59,28/08/2026,17:01:59,28/08/2026,15:36:16,Ecommerce,J&T,[],37.22,0.475
16731,Faturado,28/08/2026,15:40:30,28/08/2026,15:40:31,28/08/2026,15:33:14,Comercial,Retirada Estoque,[],41.92,0.375
16730,Em Processo,-,-,28/08/2026,15:44:25,28/08/2026,15:33:14,Comercial,DEIXAR NA SALA DA ENNE E JUNTO LEVAR TAMBÉM A REMESSA 1730,[],211.11,3.449
16729,Faturado,28/08/2026,17:01:58,28/08/2026,17:01:58,28/08/2026,15:20:30,Ecommerce,Impresso,[],70.13,0.58
16728,Faturado,28/08/2026,17:01:56,28/08/2026,17:01:56,28/08/2026,15:13:32,Ecommerce,J&T,[],75.56,0.68
16727,Faturado,28/08/2026,15:02:17,28/08/2026,15:02:18,28/08/2026,14:49:20,Ecommerce,J&T,[],220.89,2.335
16726,Separar Estoque,-,-,28/08/2026,17:28:27,28/08/2026,14:36:49,Comercial,J&T,[],501.92,6.375
16725,Separar Estoque,-,-,28/08/2026,15:55:12,28/08/2026,14:28:03,Comercial,-,[],660.28,0.155
16724,Faturado,28/08/2026,16:08:48,28/08/2026,16:08:48,28/08/2026,14:06:26,Comercial,Souza,[],947.84,12.775
16723,00,-,-,28/08/2026,14:22:34,28/08/2026,14:06:09,Comercial,-,[],660.28,0.155
16722,Faturado,28/08/2026,16:08:41,28/08/2026,16:08:41,28/08/2026,13:56:09,Comercial,Retirada Estoque,[],60.8,0.395
16721,Faturado,28/08/2026,13:41:06,28/08/2026,13:41:06,28/08/2026,12:49:04,Ecommerce,Sedex,[],40.03,0.415
16720,Faturado,28/08/2026,13:41:04,28/08/2026,13:41:04,28/08/2026,12:31:23,Ecommerce,PAC,[],99.81,0.745
16719,Faturado,28/08/2026,13:41:03,28/08/2026,13:41:03,28/08/2026,12:19:31,Ecommerce,J&T,[],69.99,0.255
16718,Faturado,28/08/2026,13:41:02,28/08/2026,13:41:02,28/08/2026,11:47:07,Comercial,Retirada Estoque,[],42.4,0.69
16717,Faturado,28/08/2026,11:52:30,28/08/2026,11:52:30,28/08/2026,11:20:57,Ecommerce,Impresso,[],64.46,0.215
16716,Faturado,28/08/2026,11:52:20,28/08/2026,11:52:21,28/08/2026,10:47:43,Ecommerce,Impresso,[],31.91,0.475
16715,Faturado,28/08/2026,13:16:52,28/08/2026,13:16:54,28/08/2026,10:46:55,Comercial,Retirada Estoque,[],946.84,13.95
16714,Faturado,28/08/2026,13:41:00,28/08/2026,13:41:00,28/08/2026,10:45:23,Comercial,Total,[],535.92,8.885
16713,Faturado,28/08/2026,15:02:35,28/08/2026,15:02:35,28/08/2026,10:42:45,Comercial,PAC,[],876.24,9.52
16712,Faturado,28/08/2026,10:30:00,28/08/2026,10:30:00,28/08/2026,10:05:42,Comercial,Retirada Estoque,[],6.0,0.165
16711,Em Processo,-,-,28/08/2026,09:48:08,28/08/2026,09:43:07,Não Identificado,-,[],89.9,0.332
16710,Faturado,28/08/2026,10:17:16,28/08/2026,10:17:16,28/08/2026,09:38:00,Ecommerce,Impresso,[],64.46,0.215
16709,Faturado,28/08/2026,10:41:22,28/08/2026,10:41:22,28/08/2026,09:37:47,Ecommerce,J&T,[],116.16,0.99
16708,Faturado,28/08/2026,10:41:20,28/08/2026,10:41:20,28/08/2026,09:01:46,Ecommerce,J&T,[],152.02,1.515
16707,Faturado,28/08/2026,10:17:15,28/08/2026,10:17:15,28/08/2026,08:32:49,Ecommerce,Impresso,[],31.91,0.475
16706,Faturado,28/08/2026,09:01:12,28/08/2026,09:01:12,28/08/2026,08:27:55,Ecommerce,Impresso,[],64.46,0.215
16705,Faturado,28/08/2026,09:01:11,28/08/2026,09:01:11,28/08/2026,08:27:47,Ecommerce,Impresso,[],64.46,0.215
16704,Faturado,28/08/2026,09:01:10,28/08/2026,09:01:10,28/08/2026,07:11:13,Ecommerce,Impresso,[],49.6,0.635
16703,Faturado,28/08/2026,09:01:09,28/08/2026,09:01:09,28/08/2026,07:06:11,Ecommerce,Impresso,[],108.35,1.9
16702,Faturado,28/08/2026,09:01:08,28/08/2026,09:01:08,28/08/2026,06:17:54,Ecommerce,Impresso,[],31.91,0.475
16701,Faturado,28/08/2026,09:01:07,28/08/2026,09:01:07,28/08/2026,05:44:47,Ecommerce,J&T,[],108.62,0.53
16700,Faturado,28/08/2026,09:01:06,28/08/2026,09:01:06,28/08/2026,04:57:36,Ecommerce,J&T,[],94.67,1.02
16699,Faturado,28/08/2026,09:01:05,28/08/2026,09:01:05,28/08/2026,02:32:52,Ecommerce,Impresso,[],31.91,0.475
16698,Faturado,28/08/2026,09:01:04,28/08/2026,09:01:04,27/08/2026,21:49:05,Ecommerce,Impresso,[],64.46,0.215
16697,Faturado,28/08/2026,09:01:02,28/08/2026,09:01:02,27/08/2026,21:32:52,Ecommerce,Impresso,[],89.9,0.332
16696,Em Processo,-,-,28/08/2026,08:42:57,27/08/2026,21:06:50,Comercial,-,[],570.7,4.295
16695,Faturado,28/08/2026,09:01:01,28/08/2026,09:01:01,27/08/2026,20:11:17,Ecommerce,Impresso,[],70.04,0.68
16694,Faturado,28/08/2026,09:01:00,28/08/2026,09:01:00,27/08/2026,19:43:31,Ecommerce,J&T,[],108.9,0.73
16693,Faturado,28/08/2026,09:00:58,28/08/2026,09:00:58,27/08/2026,19:38:47,Ecommerce,Impresso,[],33.65,0.475
16692,Faturado,28/08/2026,09:38:17,28/08/2026,09:38:21,27/08/2026,17:47:51,Comercial,PAC,[],2634.16,23.92
16691,Faturado,28/08/2026,13:17:14,28/08/2026,13:17:17,27/08/2026,17:18:24,Comercial,PAC,[],1185.87,14.516
16690,Faturado,28/08/2026,09:16:21,28/08/2026,09:16:21,27/08/2026,17:08:37,Comercial,Retirada Estoque,[],640.0,6.614
16689,Faturado,28/08/2026,13:40:58,28/08/2026,13:40:58,27/08/2026,15:13:54,Comercial,PAC,[],474.36,6.34
16688,Faturado,27/08/2026,16:49:10,27/08/2026,16:49:10,27/08/2026,15:12:40,Ecommerce,J&T,[],115.4,1.315
16687,Faturado,27/08/2026,15:30:29,27/08/2026,15:30:30,27/08/2026,15:05:17,Comercial,Souza,[],188.08,2.105
16686,Em Processo,-,-,27/08/2026,15:13:50,27/08/2026,14:55:34,Não Identificado,-,[],89.9,0.332
16685,Faturado,27/08/2026,16:49:00,27/08/2026,16:49:00,27/08/2026,14:51:52,Comercial,Retirada Estoque,[],38.9,0.255
16684,Faturado,27/08/2026,16:49:01,27/08/2026,16:49:01,27/08/2026,14:33:12,Ecommerce,Impresso,[],39.87,0.205
16683,Faturado,27/08/2026,15:11:21,27/08/2026,15:11:24,27/08/2026,14:25:10,Comercial,Souza,[],2560.04,12.595
16682,Faturado,27/08/2026,16:49:08,27/08/2026,16:49:08,27/08/2026,14:25:15,Ecommerce,Mini Envios,[],37.45,0.475
16681,Faturado,28/08/2026,09:00:56,28/08/2026,09:00:56,27/08/2026,14:02:08,Comercial,Sedex,[],949.11,5.825
16680,Faturado,27/08/2026,16:49:07,27/08/2026,16:49:07,27/08/2026,12:58:43,Ecommerce,J&T,[],466.65,4.05
16679,Faturado,27/08/2026,16:49:06,27/08/2026,16:49:06,27/08/2026,11:43:06,Ecommerce,Sedex,[],70.26,0.215
16678,Faturado,27/08/2026,16:49:05,27/08/2026,16:49:05,27/08/2026,11:25:11,Ecommerce,J&T,[],115.25,1.18
16677,Faturado,27/08/2026,16:49:03,27/08/2026,16:49:03,27/08/2026,11:25:00,Ecommerce,J&T,[],102.11,0.43
16676,00,-,-,27/08/2026,11:24:11,27/08/2026,11:16:45,Não Identificado,-,[],126.32,1.19
16675,Faturado,27/08/2026,10:04:41,27/08/2026,10:04:41,27/08/2026,09:27:50,Ecommerce,Impresso,[],68.65,0.215
16674,Faturado,27/08/2026,10:04:39,27/08/2026,10:04:39,27/08/2026,08:54:40,Ecommerce,Impresso,[],31.91,0.475
16673,Faturado,27/08/2026,08:51:05,27/08/2026,08:51:05,27/08/2026,07:52:36,Ecommerce,J&T,[],75.56,0.68
16672,Faturado,27/08/2026,08:51:04,27/08/2026,08:51:04,27/08/2026,06:59:59,Ecommerce,Impresso,[],89.9,0.332
16671,Faturado,27/08/2026,08:51:02,27/08/2026,08:51:02,27/08/2026,00:41:34,Ecommerce,J&T,[],63.28,0.95
16670,Faturado,27/08/2026,08:51:01,27/08/2026,08:51:01,26/08/2026,23:49:30,Ecommerce,Impresso,[],55.06,0.95
16669,Faturado,27/08/2026,08:51:00,27/08/2026,08:51:00,26/08/2026,22:40:36,Ecommerce,Impresso,[],31.91,0.475
16668,Faturado,27/08/2026,08:50:59,27/08/2026,08:50:59,26/08/2026,22:28:47,Ecommerce,Impresso,[],64.46,0.215
16667,Faturado,27/08/2026,08:50:58,27/08/2026,08:50:58,26/08/2026,22:16:09,Ecommerce,Impresso,[],31.91,0.475
16666,Faturado,27/08/2026,08:50:57,27/08/2026,08:50:57,26/08/2026,22:03:57,Ecommerce,J&T,[],37.02,0.475
16665,Faturado,27/08/2026,17:10:58,27/08/2026,17:10:58,26/08/2026,17:37:41,Comercial,-,[],43.92,0.255
16664,Faturado,26/08/2026,17:26:52,26/08/2026,17:26:52,26/08/2026,17:14:30,Ecommerce,Impresso,[],86.55,0.52
16663,Faturado,26/08/2026,17:26:48,26/08/2026,17:26:48,26/08/2026,16:10:06,Ecommerce,J&T,[],171.14,1.57
16662,Faturado,26/08/2026,17:26:51,26/08/2026,17:26:51,26/08/2026,15:19:53,Ecommerce,Impresso,[],55.16,0.215
16661,Faturado,26/08/2026,13:43:52,26/08/2026,13:43:52,26/08/2026,12:41:58,Ecommerce,J&T,[],123.9,1.115
16660,Faturado,26/08/2026,13:43:52,26/08/2026,13:43:52,26/08/2026,11:58:14,Ecommerce,Impresso,[],70.04,0.615
16659,Faturado,26/08/2026,17:29:45,26/08/2026,17:29:46,26/08/2026,11:07:17,Comercial,ACERTO DA REMESSA 1718,[],4032.0,51.24
16658,Faturado,26/08/2026,13:37:58,26/08/2026,13:37:59,26/08/2026,10:52:53,Comercial,Retirada Estoque,[],987.42,9.805
16657,Faturado,26/08/2026,13:43:50,26/08/2026,13:43:50,26/08/2026,10:06:15,Ecommerce,Impresso,[],68.65,0.215
16656,Faturado,26/08/2026,13:43:49,26/08/2026,13:43:49,26/08/2026,10:06:04,Ecommerce,PAC,[],43.3,0.475
16655,Faturado,26/08/2026,11:44:27,26/08/2026,11:44:27,26/08/2026,10:00:27,Ecommerce,J&T,[],159.62,1.375
16653,Faturado,26/08/2026,11:26:11,26/08/2026,11:26:11,26/08/2026,08:51:19,Ecommerce,J&T,[],74.14,0.215
16652,Faturado,27/08/2026,15:03:51,27/08/2026,15:03:54,26/08/2026,08:25:42,Comercial,Retirada Estoque,[],1435.97,19.385
16651,Faturado,26/08/2026,13:43:48,26/08/2026,13:43:48,26/08/2026,08:13:29,Comercial,Souza,[],380.44,5.63
16650,Faturado,26/08/2026,09:34:36,26/08/2026,09:34:36,26/08/2026,08:11:07,Ecommerce,J&T,[],70.09,0.215
16649,Faturado,26/08/2026,09:34:35,26/08/2026,09:34:35,26/08/2026,06:57:14,Ecommerce,J&T,[],139.22,0.645
16648,Faturado,26/08/2026,09:34:34,26/08/2026,09:34:34,26/08/2026,05:15:25,Ecommerce,Impresso,[],90.55,0.965
16647,Faturado,26/08/2026,09:53:12,26/08/2026,09:53:12,26/08/2026,01:24:24,Ecommerce,Impresso,[],83.61,0.497
16646,Faturado,26/08/2026,09:34:32,26/08/2026,09:34:32,26/08/2026,00:19:33,Ecommerce,Impresso,[],68.65,0.215
16645,Faturado,26/08/2026,09:34:32,26/08/2026,09:34:32,25/08/2026,23:46:59,Ecommerce,Impresso,[],75.24,0.165
16644,Faturado,26/08/2026,09:34:31,26/08/2026,09:34:31,25/08/2026,23:12:17,Ecommerce,J&T,[],130.2,1.255
16643,Faturado,26/08/2026,09:34:29,26/08/2026,09:34:29,25/08/2026,23:12:03,Ecommerce,J&T,[],84.17,0.215
16642,Faturado,26/08/2026,09:34:28,26/08/2026,09:34:28,25/08/2026,21:38:26,Ecommerce,Impresso,[],74.65,0.68
16641,Faturado,26/08/2026,09:34:27,26/08/2026,09:34:27,25/08/2026,19:10:41,Ecommerce,J&T,[],131.8,1.36
16640,Faturado,26/08/2026,09:34:26,26/08/2026,09:34:26,25/08/2026,19:10:31,Ecommerce,Sedex,[],64.69,0.755
16639,Faturado,26/08/2026,09:34:25,26/08/2026,09:34:25,25/08/2026,17:46:50,Ecommerce,J&T,[],109.2,1.11
16630,Em Processo,-,-,27/08/2026,15:30:21,25/08/2026,14:16:39,Comercial,PAC,[],147.57,2.26
16623,Faturado,26/08/2026,09:34:21,26/08/2026,09:34:21,25/08/2026,11:04:16,Comercial,PAC,[],4047.63,59.06
16531,Faturado,26/08/2026,11:26:09,26/08/2026,11:26:09,21/08/2026,16:59:18,Comercial,J&T,[],1049.18,15.95
16525,Faturado,26/08/2026,11:26:06,26/08/2026,11:26:06,21/08/2026,15:44:09,Comercial,J&T,[],1102.69,16.045
8819,00,-,-,29/08/2026,14:53:33,27/11/2025,10:55:30,Não Identificado,-,[],89.9,2.752
